Region/Kategori,Land/Område,Bildkoppling
Europa,Island,En drake (som orsakar GEYSRARNA och DE HETA KÄLLORNA)
Europa,Norge,En VAL
Europa,Sverige,Marge Simpson (i GULT OCH BLÅTT)
Europa,Finland,Ett paket som du FINNer något i
Europa,Danmark,En lägereld att grilla PØLSE på
Europa,Irland,Papegoja som IRRAR omkring över Atlanten
Europa,Nordirland,En liten mus som IRRAR i NORR
Europa,Skottland,En fotbollsspelare som skjuter hårda SKOTT
Europa,England,En kanin som bor på en ÄNG
Europa,Wales,En brunn som det bor valar (WHALES på engelska) i
Europa,Portugal,En tupp som GAL
Europa,Spanien,En spansk tjur
Europa,Frankrike,En fransk mästerkock
Europa,Andorra,En AND
Europa,Monaco,Ett ROULETTEHJUL
Europa,Nederländerna/Holland,En kille som HÅLLer en AND
Europa,Belgien,En kanin som äter BRYSSELkål
Europa,Luxemburg,En LYXIG hamBURGARE
Europa,Tyskland,En tysk häxa
Europa,Schweiz,Ett svin (SCHWEIN på tyska)
Europa,Liechtenstein,En LITEN STEN på svinets tryne
Europa,Österrike,"En tröstande snigel, den TRÖSTERIKE "
Europa,Italien,En STÖVEL
Europa,Vatikanstaten,Ett kors
Europa,San Marino,En bläckfisk (ett MARINT djur)
Europa,Malta,En kille som heter MALTE som ror över Medelhavet
Europa,Estland,En häst (HÄST-LAND)
Europa,Lettland,En person som använder en gymmaskin och tycker att det är LÄTT
Europa,Litauen,En person som lyfter en sten och ber oss att LITA på honom
Europa,Belarus,En sjöjungfru som lyssnar på havets BRUS
Europa,Polen,En isbjörn från NordPOLEN
Europa,Tjeckien,En get med en CHECK på mulen
Europa,Slovakien,Ett sjöodjur som SLÅR med svansen i en VAK
Europa,Ungern,En fågel som är nöjd med att UNGEN har flyttat hemifrån
Europa,Slovenien,En tomte som är din VÄN
Europa,Kroatien,En sax som är lite som en KROK eller KLO
Europa,Bosnien-Hercegovina,Link från tv-spelet Zelda som möter en BOSS som heter HERR SEG-Å-VINNA
Europa,Serbien,En man som tittar i en kikare och SER bra (BIEN på franska)
Europa,Montenegro,En svart (NEGRO på spanska) MONTER
Europa,Kosovo,En KO som SOVER
Europa,Albanien,Någon har lagt ALLA BARN I EN barnvagn
Europa,Nordmakedonien,En skink-MACKA
Europa,Grekland,En grekisk pelare
Europa,Cypern,En narval som SYR en PÄRM med sin horntand
Europa,Turkiet,En kalkon (TURKEY på engelska)
Europa,Bulgarien,En person som äter en BULLE
Europa,Rumänien,Ett hotell som har RUM ÄN
Europa,Moldavien,Ett kemiskt provrör som det kommer ett MOLN ur
Europa,Ukraina,En varelse som gråter och som vi varsamt frågar: Are U CRYIN’?
Afrika,Egypten,PYRAMID under uppbyggnad
Afrika,Libyen,Den LILLE som går från BYN med ryggsäck
Afrika,Tunisien,En iskniv som skär genom TUNN IS
Afrika,Algeriet,En groda som sitter på en sten täckt med ALGER
Afrika,Marocko,En dammsugare som råkar suga i sig en MARACAS
Afrika,Västsahara,SAND som dammsugaren suger i sig (från västra Sahara)
Afrika,Mauretanien,MAO Zedong som sitter i en tron och blir RETAD av en fågel
Afrika,Mali,En MAL
Afrika,Senegal,En SÄNG med två som sover och väcks när tuppen GAL
Afrika,Gambia,En mask som har stoppats undan av en GAM som heter BIA
Afrika,Kap Verde,Ett skeppsvrak med stort KAP-VÄRDE
Afrika,Guinea,Ett marsvin (GUINEA PIG på engelska)
Afrika,Guinea-Bissau,Pizzor som levereras av marsvinet (GUINEA-PIZZA)
Afrika,Sierra Leone,Ett lejon som frågar: “Seriöst?” (SERR? + LEJON)
Afrika,Liberia,"En tjej i en amerikansk sovsäck som viftar med en frihetsflagga, för LIBERTY (frihet på engelska) "
Afrika,Elfenbenskusten,En ELEFANT
Afrika,Burkina Faso,En BURK som det kommer FASOR ur
Afrika,Ghana,En grytlapp av GARN
Afrika,Togo,En TÅGräls
Afrika,Benin,En kycklingklubba med BEN INuti
Afrika,Niger,Filmkamera som filmar någon som NIGER
Afrika,Nigeria,Ballerina som NIGER och utropar: IA!
Afrika,Tchad,Regissören till filmen som håller upp handen och säger: TJA!
Afrika,Sudan,En SUR kille som heter DAN och inte kom med i filmen
Afrika,Sydsudan,SUDANs hund som SYR en picknickduk
Afrika,Kamerun,Vi KAMMAR RU från Nalle Puh
Afrika,Gabon,Ett spöke som GÅR på BEN
Afrika,Ekvatorialguinea,En markör som GUINEA har satt ut nära EKVATORN
Afrika,São Tomé & Principe,THOMAS Ravelli som kastar sig mot markören och lägger den rätt eftersom han har som PRINCIP att allt ska ligga rätt
Afrika,Centralafrikanska republiken,Någon som försöker borra sig in till CENTRALA AFRIKAs hjärta
Afrika,Etiopien,Någon som bär ANTILOPEN på ryggen
Afrika,Eritrea,"En tratt som en löpare springer runt i, han får alltid brons och är därför EVIG TREA "
Afrika,Djibouti,En DJ i en BÅT
Afrika,Somalia,En blomma som blommar på SOMMAREN
Afrika,Kenya,"En fågel som är nöjd eftersom den har ätit upp Barbies pojkvän Ken och erkänner det: KEN, JA! "
Afrika,Uganda,En get som egentligen är GANDALF som förvandlat sig
Afrika,Tanzania,En man som DANSAR och vill att man ska NIA honom
Afrika,Burundi,En BUR UNDER Rwanda
Afrika,Rwanda,Någon som kommit ut ur buren och tänker VANDRA genom Afrika
Afrika,Demokratiska Republiken Kongo,"En häxa som slåss mot Donkey KONG, efteråt behöver båda en doktor (DR) "
Afrika,Kongo-Brazzaville,Någon som slår på BONGO-trummor men helst VILLE tända en BRASA
Afrika,Angola,En ANGORA-katt
Afrika,Namibia,"En kameleont som balanserar på sin svans och fångar en fluga med tungan, NAM-NAM-NAM "
Afrika,Sydafrika,En giraff och landet längst i SYD i AFRIKA
Afrika,Lesotho,Min kusin Otto som läser en bok (LÄS-OTTO)
Afrika,Eswatini,"Den andra näsborren på giraffen, som det ÄR SVART INNE I "
Afrika,Botswana,En person som håller i två BOOTS
Afrika,Zimbabwe,"Aladdin som är ledsen för att Lejonkungen blev en större succé: SIMBA, BUÄÄÄ! "
Afrika,Zambia,SAM och BIA som hånglar (eller dansar SAMBA)
Afrika,Moçambique,En varelse som MOSAR en BIC-penna mot Tanzania-dansarens fot
Afrika,Malawi,Någon som vill MALA något i Malawi-sjön
Afrika,Madagascar,En kille som DASKAR med sin MAGE
Afrika,Komorerna,KOR som lämnar fastlandet av längtan efter mer (MORE på engelska)
Afrika,Seychellerna,Ett halsband av havssnäckskal (SEA SHELLS) som magdaskaren har gjort och hängt ovanför
Afrika,Mauritius,Mustiga MAURI som försöker intervjua magdaskaren
Asien,Saudiarabien,En pergamentrulle skriven på ARABISKA av Eric SAADE
Asien,Yemen,Två pyramider vars ägare alltid hälsar varandra med frasen YEAH MAN!
Asien,Oman,"En Oscarsstatyett som håller på att bli uppäten av en fågel och därför säger OH, MAN! "
Asien,Förenade Arabemiraten,En fågel som äter upp folk på arabiska halvön och vill förena dem på sin tallrik (FÖRENAR ARABER I MATEN)
Asien,Qatar,En KATT
Asien,Bahrain,En hjärna (BRAIN på engelska) som tillhör katten
Asien,Kuwait,"En flugsvamp, när du ska plocka den ropar jag kuWAIT! "
Asien,Irak,Ett hjärtformat paket med parfym att hälla I RAKapparaten
Asien,Iran,En person från Iran
Asien,Jordanien,En spade som gräver i JORDEN
Asien,Israel,En IShacka
Asien,Palestina,En PALL
Asien,Syrien,En behållare med SYRA
Asien,Libanon,LIMA-bönor att ha i LIBA-bröd
Asien,Armenien,En soldat som är med i ARMÉN
